구분,파일위치,파일명,상세기능설명
소스코드파일,/workspace/jayeondeule,agriAiCore,프로젝트 주요 서비스를 순차적으로 기동/중지하기 위한 실행 래퍼 스크립트다.
소스코드파일,/workspace/jayeondeule/.mcp/web-search/build,index.js,TypeScript 소스를 컴파일한 배포용 JavaScript 번들로 런타임에서 직접 실행된다.
소스코드파일,/workspace/jayeondeule/.mcp/web-search/src,index.ts,"MCP 웹 검색 서버의 TypeScript 엔트리로 툴 등록, 요청 처리, 외부 검색 연동을 구현한다."
소스코드파일,/workspace/jayeondeule/agri_ai_core,__init__.py,패키지 초기화 파일로 모듈 경계를 정의하고 공용 심볼 노출/초기 설정을 수행한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core,config.py,서비스 전역 환경설정과 경로/키 상수를 로딩해 다른 모듈에 제공한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core,run_reflex.sh,Reflex UI 서버를 개발/운영 모드로 실행하기 위한 런처 스크립트다.
소스코드파일,/workspace/jayeondeule/agri_ai_core,run_scheduler.py,스케줄러 단독 실행용 엔트리로 예약 제어 루프를 실행한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core,startup.py,프로세스 시작 시 초기 의존성 점검과 필수 자원 준비 작업을 수행한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core,test_rag.py,RAG 파이프라인 동작을 검증하기 위한 테스트/점검 스크립트다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/assets,custom.css,"웹 UI의 사용자 정의 스타일(간격, 색상, 컴포넌트 외형)을 정의한다."
소스코드파일,/workspace/jayeondeule/agri_ai_core/main,__init__.py,패키지 초기화 파일로 모듈 경계를 정의하고 공용 심볼 노출/초기 설정을 수행한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/main,main.py,애플리케이션 실행 진입점으로 초기화 순서와 서비스 기동 절차를 조정한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src,__init__.py,패키지 초기화 파일로 모듈 경계를 정의하고 공용 심볼 노출/초기 설정을 수행한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src,logs.py,"파이썬 모듈로 애플리케이션 로직을 구현. 주요 클래스: DailyRotatingFileHandler. 주요 함수: setup_logger. 연동 모듈: os, sys, logging, datetime."
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ai,__init__.py,패키지 초기화 파일로 모듈 경계를 정의하고 공용 심볼 노출/초기 설정을 수행한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ai,file_processor.py,업로드/입력 파일을 읽고 전처리하여 RAG 파이프라인에서 사용할 문서 단위 데이터로 변환한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ai,llm_client.py,"LLM API 호출을 캡슐화하여 프롬프트 전송, 응답 수신, 예외 처리를 일관되게 제공한다."
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ai,mcp_client.py,MCP 서버와의 통신 계층으로 도구 호출 요청/응답을 관리해 AI 기능과 외부 도구를 연결한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ai,query_handler_simple.py,사용자 질의를 해석해 검색/도구 호출/응답 생성 흐름을 조합하는 경량 질의 처리기다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ai,tools_definition.py,AI가 사용할 도구의 스키마와 호출 규약을 정의해 함수형 도구 사용을 표준화한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ai,tools_executor.py,정의된 도구를 실제 실행하고 결과를 직렬화해 LLM 응답 루프에 다시 공급한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ai/learning,__init__.py,학습 데이터 분석 및 모델 학습 관련 실험/훈련 로직을 제공하는 AI 학습 모듈이다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ai/learning,data_analyzer.py,학습 데이터 분석 및 모델 학습 관련 실험/훈련 로직을 제공하는 AI 학습 모듈이다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ai/learning,model_trainer.py,학습 데이터 분석 및 모델 학습 관련 실험/훈련 로직을 제공하는 AI 학습 모듈이다.
