구분,파일위치,파일명,상세 기능 설명
환경파일,/workspace/jayeondeule/,.env,"PostgreSQL, ChromaDB, Ollama LLM, Reflex 등 시스템 전체의 환경 변수를 정의하는 설정 파일. 데이터베이스 접속 정보, 모델 이름, 컬렉션 이름, 로그 경로 등 핵심 설정을 포함한다."
환경파일,/workspace/jayeondeule/,.gitignore,"Git 버전 관리에서 제외할 파일/디렉토리를 지정. Python 캐시, 가상환경, ChromaDB 데이터베이스 파일, 로그 파일 등을 제외하여 저장소 크기를 최적화한다."
환경파일,/workspace/jayeondeule/,jayeondeule.code-workspace,"VS Code 워크스페이스 설정 파일. 프로젝트 루트를 워크스페이스로 정의하여 IDE에서 프로젝트를 통합 관리한다."
환경파일,/workspace/jayeondeule/,agriAiCore,"AgriAI Core 시스템 제어 스크립트. start/stop/restart/status/logs 명령으로 systemd 서비스를 관리하며 Reflex UI 포트 대기 및 상태 확인 기능을 제공한다."
환경파일,/workspace/jayeondeule/.claude/,settings.json,"Claude Code 에이전트의 샌드박스 설정 및 권한 정책을 정의. 샌드박스 비활성화 및 Bash 명령 실행 권한을 설정한다."
환경파일,/workspace/jayeondeule/.claude/,settings.local.json,"Claude Code의 로컬 개발 환경 권한 설정. Python, pip, Docker, systemd, git 등 다양한 시스템 명령의 실행 허용 목록을 정의한다."
환경파일,/workspace/jayeondeule/.vscode/,mcp.json,"Model Context Protocol(MCP) 서버 설정 파일. PostgreSQL, 파일시스템, 웹 검색, fetch 등의 MCP 서버 접속 정보를 정의한다."
환경파일,/workspace/jayeondeule/.mcp/web-search/,package.json,"MCP 웹 검색 서버의 Node.js 패키지 설정 파일. 의존성 패키지(axios, cheerio 등)와 빌드 스크립트를 정의한다."
환경파일,/workspace/jayeondeule/.mcp/web-search/,tsconfig.json,"MCP 웹 검색 서버의 TypeScript 컴파일러 설정 파일. 컴파일 타겟, 모듈 시스템, 출력 경로 등을 정의한다."
환경파일,/workspace/jayeondeule/agri_ai_core/,rxconfig.py,"Reflex 웹 프레임워크의 앱 설정 파일. 포트, API URL, 데이터베이스 경로, 텔레메트리 비활성화 등 Reflex 앱 실행에 필요한 모든 설정을 정의한다."
환경파일,/workspace/jayeondeule/agri_ai_core/,run_reflex.sh,"Reflex UI 실행 스크립트. STANDALONE 모드와 UI ONLY 모드를 지원하며, 가상환경 활성화, 백그라운드 서비스 초기화, Reflex 실행을 순차적으로 수행한다."
환경파일,/workspace/jayeondeule/setup/,agriAiCore.service,"systemd 서비스 유닛 파일. run_services.sh를 실행하여 Reflex UI와 스케줄러를 통합 관리하며, 실패 시 자동 재시작(5초 딜레이)한다."
환경파일,/workspace/jayeondeule/setup/,chromadb.service,"ChromaDB systemd 서비스 유닛 파일. ChromaDB HTTP 서버(포트 8000)를 백그라운드 데몬으로 실행하고 자동 재시작을 관리한다."
환경파일,/workspace/jayeondeule/setup/,reflex.service,"Reflex systemd 서비스 유닛 파일. Reflex 웹 UI를 독립 서비스로 실행하고 systemd를 통해 자동 시작/재시작을 관리한다."
환경파일,/workspace/jayeondeule/setup/,run_services.sh,"통합 서비스 실행 스크립트. 스케줄러(run_scheduler.py)와 Reflex(run_reflex.sh)를 병렬로 실행하고, trap으로 두 프로세스를 동시에 종료 관리한다."
환경파일,/workspace/jayeondeule/setup/,run_reflex.sh,"Reflex 단독 실행 스크립트. 가상환경 활성화 후 reflex init과 reflex run을 순차적으로 수행하여 웹 UI를 시작한다."
환경파일,/workspace/jayeondeule/setup/,requirement.sh,"프로젝트 환경 구축 스크립트. Python 가상환경 생성, pip 업그레이드, 필수 패키지 설치, Reflex 초기화 등 초기 환경 세팅을 자동화한다."
환경파일,/workspace/jayeondeule/setup/,setup_service.sh,"systemd 서비스 등록 스크립트. agriAiCore.service 파일을 /etc/systemd/system/에 복사하고 daemon-reload 후 enable/start를 수행한다."
환경파일,/workspace/jayeondeule/setup/,chromadb_upgrade.sh,"ChromaDB 업그레이드 스크립트. pip를 통해 ChromaDB 패키지를 최신 버전으로 업그레이드하고 데이터 마이그레이션을 수행한다."
환경파일,/workspace/jayeondeule/setup/,mcp_upgrade.sh,"MCP 서버 업그레이드 스크립트. npx를 사용하여 @anthropic/mcp-server-postgres 등 최신 MCP 서버 패키지를 설치/갱신한다."
환경파일,/workspace/jayeondeule/setup/,quick_check.sh,"시스템 빠른 점검 스크립트. systemctl 상태, 포트 사용 현황, 프로세스 목록, 최근 로그 등을 한 번에 확인하여 시스템 헬스를 점검한다."
환경파일,/workspace/jayeondeule/setup/,test_services.sh,"서비스 테스트 스크립트. ChromaDB, Reflex, 스케줄러 등 각 서비스의 HTTP 응답 및 프로세스 존재 여부를 자동으로 테스트한다."
환경파일,/workspace/jayeondeule/setup/,verify_reflex.sh,"Reflex 검증 스크립트. Reflex가 정상 설치되고 웹 UI가 올바르게 응답하는지 HTTP 요청으로 확인한다."
환경파일,/workspace/jayeondeule/raspi/v1/,.env,"라즈베리 파이 v1 환경 변수 파일. PostgreSQL 접속 정보, GPIO 설정, 센서 주소 등 v1 하드웨어 제어에 필요한 환경 변수를 정의한다."
환경파일,/workspace/jayeondeule/raspi/v3/,.env,"라즈베리 파이 v3 환경 변수 파일. PostgreSQL 접속 정보, GPIO 설정, 센서 주소 등 v3 하드웨어 제어에 필요한 환경 변수를 정의한다."
환경파일,/workspace/jayeondeule/raspi/v1/gpio/,FarmUnits.code-workspace,"라즈베리 파이 v1 GPIO 개발용 VS Code 워크스페이스 설정 파일."
환경파일,/workspace/jayeondeule/raspi/v1/gpio/,SmartFarm.code-workspace,"라즈베리 파이 v1 스마트팜 개발용 VS Code 워크스페이스 설정 파일."
환경파일,/workspace/jayeondeule/raspi/v2/,FarmUnits.code-workspace,"라즈베리 파이 v2 개발용 VS Code 워크스페이스 설정 파일."
환경파일,/workspace/jayeondeule/raspi/v3/gpio/,FarmUnits.code-workspace,"라즈베리 파이 v3 GPIO 개발용 VS Code 워크스페이스 설정 파일."
소스코드,/workspace/jayeondeule/agri_ai_core/,__init__.py,"AgriAI Core 패키지 초기화 모듈. settings, setup_logger 등 공통 유틸리티를 export하며, 순환 import 방지를 위한 지연 로드(lazy load) 함수를 제공한다."
소스코드,/workspace/jayeondeule/agri_ai_core/,config.py,"통합 설정 모듈(799줄). settings.py, constants.py, mappers.py를 하나로 통합하여 DB 접속, 벡터 저장소, LLM 모델, 컬렉션, 로깅 설정과 센서/릴레이 매핑 정보를 제공한다."
소스코드,/workspace/jayeondeule/agri_ai_core/,startup.py,"애플리케이션 시작 초기화 모듈. ChromaDB 연결 확인, 필수 컬렉션 생성, 스케줄러 설정 및 시작 등 시스템 리소스를 초기화하고 atexit로 종료 시 정리한다."
