========================================,,,,,,,,,,,,,,,,,,,,,,,
[8] 센서 상태 분류 기준 (_classify 함수),,,,,,,,,,,,,,,,,,,,,,,
========================================,,,,,,,,,,,,,,,,,,,,,,,
센서,상태,범위,비상 제외 후 실효범위,,,,,,,,,,,,,,,,,,,,
내부온도,low (저온),<27℃,25~27℃,,,,,,,,,,,,,,,,,,,,
내부온도,normal (정상),27~30℃,27~30℃,,,,,,,,,,,,,,,,,,,,
내부온도,high (고온),>30℃,30~33℃,,,,,,,,,,,,,,,,,,,,
내부습도,low (저습),<75%,70~75%,,,,,,,,,,,,,,,,,,,,
내부습도,normal (정상),75~85%,75~85%,,,,,,,,,,,,,,,,,,,,
내부습도,high (고습),>85%,85~95%,,,,,,,,,,,,,,,,,,,,
CO2,low (저CO2),<300ppm,<300ppm,,,,,,,,,,,,,,,,,,,,
CO2,normal (정상),300~1200ppm,300~1200ppm,,,,,,,,,,,,,,,,,,,,
CO2,high (고CO2),>1200ppm,1200~1500ppm,,,,,,,,,,,,,,,,,,,,
외부온도,normal (정상),27~30℃,-,,,,,,,,,,,,,,,,,,,,
외부온도,abnormal (비정상),<27 또는 >30℃,-,,,,,,,,,,,,,,,,,,,,
외부습도,normal (정상),75~85%,-,,,,,,,,,,,,,,,,,,,,
외부습도,abnormal (비정상),<75 또는 >85%,-,,,,,,,,,,,,,,,,,,,,
